input_file,status,added_vertices,total_length,exec_time_sec,max_rel_error_abs,max_error_pair_i,max_error_pair_j,mae
manhattan_n1000_k20_d2_s9.csv,OK,79,13783,0.387980,0.0095923261390886694,v3,v12,0.042105263157894736
manhattan_n1000_k20_d2_s10.csv,OK,70,13935,0.333347,0.0088105726872247381,v4,v16,0.052631578947368418


manhattan_n50_k5_d2_s1.csv,OK,2,72,0.099708,0,v1,v2,0
manhattan_n50_k5_d2_s2.csv,OK,2,70,0.100684,0,v1,v2,0
manhattan_n50_k5_d2_s3.csv,OK,2,138,0.095607,0,v1,v2,0
manhattan_n50_k5_d2_s4.csv,OK,4,65,0.101316,0,v1,v2,0
manhattan_n50_k5_d2_s5.csv,OK,4,100,0.114657,0,v1,v2,0
manhattan_n50_k5_d2_s6.csv,OK,4,120,0.099396,0,v1,v2,0
manhattan_n50_k5_d2_s7.csv,OK,3,70,0.095509,0,v1,v2,0
manhattan_n50_k5_d2_s8.csv,OK,2,92,0.094870,0,v1,v2,0
manhattan_n50_k5_d2_s9.csv,OK,2,66,0.104492,0,v1,v2,0
manhattan_n50_k5_d2_s10.csv,OK,6,114,0.100223,0,v1,v2,0

manhattan_n50_k10_d2_s1.csv,OK,19,257,0.419296,0,v1,v2,0
manhattan_n50_k10_d2_s2.csv,OK,22,371,0.144377,0,v1,v2,0
manhattan_n50_k10_d2_s3.csv,OK,20,365,0.140593,0,v1,v2,0
manhattan_n50_k10_d2_s4.csv,OK,16,184,0.134157,0,v1,v2,0
manhattan_n50_k10_d2_s5.csv,OK,13,246,0.129674,0,v1,v2,0
manhattan_n50_k10_d2_s6.csv,OK,20,343,0.143861,0,v1,v2,0
manhattan_n50_k10_d2_s7.csv,OK,14,150,0.141702,0,v1,v2,0
manhattan_n50_k10_d2_s8.csv,OK,24,329,0.166055,0,v1,v2,0
manhattan_n50_k10_d2_s9.csv,OK,18,304,0.142202,0,v1,v2,0
manhattan_n50_k10_d2_s10.csv,OK,17,315,0.132677,0,v1,v2,0

manhattan_n50_k20_d2_s1.csv,OK,56,540,0.326636,0,v1,v2,0
manhattan_n50_k20_d2_s2.csv,OK,67,709,0.349543,0,v1,v2,0
manhattan_n50_k20_d2_s3.csv,OK,47,592,0.289702,0,v1,v2,0
manhattan_n50_k20_d2_s4.csv,OK,56,435,0.315700,0,v1,v2,0
manhattan_n50_k20_d2_s5.csv,OK,48,621,0.277445,0,v1,v2,0
manhattan_n50_k20_d2_s6.csv,OK,59,585,0.441597,0,v1,v2,0
manhattan_n50_k20_d2_s7.csv,OK,48,502,0.303429,0,v1,v2,0
manhattan_n50_k20_d2_s8.csv,OK,54,622,0.315431,0,v1,v2,0
manhattan_n50_k20_d2_s9.csv,OK,75,724,0.415804,0,v1,v2,0
manhattan_n50_k20_d2_s10.csv,OK,46,568,0.274896,0,v1,v2,0

manhattan_n50_k40_d2_s1.csv,OK,156,1116,1.052359,0,v1,v2,0
manhattan_n50_k40_d2_s2.csv,OK,145,1172,1.309551,0,v1,v2,0
manhattan_n50_k40_d2_s3.csv,OK,123,1154,0.763956,0,v1,v2,0
manhattan_n50_k40_d2_s4.csv,OK,166,1015,1.103734,0,v1,v2,0
manhattan_n50_k40_d2_s5.csv,OK,146,1026,0.921880,0.16666666666666674,v1,v39,0.01282051282051282
manhattan_n50_k40_d2_s6.csv,OK,141,1094,0.937445,0,v1,v2,0
manhattan_n50_k40_d2_s7.csv,OK,168,1073,1.151424,0,v1,v2,0
manhattan_n50_k40_d2_s8.csv,OK,172,1203,1.158948,0,v1,v2,0
manhattan_n50_k40_d2_s9.csv,OK,165,1343,1.054194,0,v1,v2,0
manhattan_n50_k40_d2_s10.csv,OK,127,1038,0.784185,0,v1,v2,0

manhattan_n50_k80_d2_s1.csv,OK,377,1914,6.580882,0.14285714285714279,v4,v50,0.0037974683544303796
manhattan_n50_k80_d2_s2.csv,OK,403,2021,7.652702,0,v1,v2,0
manhattan_n50_k80_d2_s3.csv,OK,332,1837,4.991764,0,v1,v2,0
manhattan_n50_k80_d2_s4.csv,OK,383,1879,6.898796,0,v1,v2,0
manhattan_n50_k80_d2_s5.csv,OK,329,1761,4.784775,0,v1,v2,0
manhattan_n50_k80_d2_s6.csv,OK,435,1997,9.499982,0,v1,v2,0
manhattan_n50_k80_d2_s7.csv,OK,458,2052,11.243444,0,v1,v2,0
manhattan_n50_k80_d2_s8.csv,OK,386,1969,6.666176,0,v1,v2,0
manhattan_n50_k80_d2_s9.csv,OK,460,2107,11.752759,0,v1,v2,0
manhattan_n50_k80_d2_s10.csv,OK,407,1853,8.260209,0,v1,v2,0

manhattan_n50_k100_d2_s1.csv,OK,484,2143,14.332541,0,v1,v2,0
manhattan_n50_k100_d2_s2.csv,OK,459,2219,12.894138,0,v1,v2,0
manhattan_n50_k100_d2_s3.csv,OK,397,2007,8.434850,0,v1,v2,0
manhattan_n50_k100_d2_s4.csv,OK,449,2123,12.153280,0,v1,v2,0
manhattan_n50_k100_d2_s5.csv,OK,459,2063,12.681684,0,v1,v2,0
manhattan_n50_k100_d2_s6.csv,OK,461,2332,12.630445,0,v1,v2,0
manhattan_n50_k100_d2_s7.csv,OK,524,2306,18.837177,0,v1,v2,0
manhattan_n50_k100_d2_s8.csv,OK,411,2077,9.276174,0,v1,v2,0
manhattan_n50_k100_d2_s9.csv,OK,458,2079,12.429884,0,v1,v2,0
manhattan_n50_k100_d2_s10.csv,OK,475,2186,14.391121,0,v1,v2,0

manhattan_n50_k160_d2_s1.csv,OK,757,2724,84.702282,0,v1,v2,0
manhattan_n50_k160_d2_s2.csv,OK,775,2858,101.801237,0,v1,v2,0
manhattan_n50_k160_d2_s3.csv,OK,746,2786,91.487063,0,v1,v2,0
manhattan_n50_k160_d2_s4.csv,OK,865,3084,144.504541,0,v1,v2,0
manhattan_n50_k160_d2_s5.csv,OK,791,2783,108.966951,0,v1,v2,0
manhattan_n50_k160_d2_s6.csv,OK,829,2956,124.220547,0,v1,v2,0
manhattan_n50_k160_d2_s7.csv,OK,901,3061,161.072709,0,v1,v2,0
manhattan_n50_k160_d2_s8.csv,OK,749,2899,87.452707,0.11111111111111116,v32,v141,0.0012578616352201257
manhattan_n50_k160_d2_s9.csv,OK,832,2994,120.847896,0,v1,v2,0
