input_file,status,added_vertices,total_length,exec_time_sec,max_rel_error_abs,max_error_pair_i,max_error_pair_j,mae
manhattan_n50_k5_d2_s2.csv,OK,2,70,0.097809,0,v1,v2,0
manhattan_n50_k5_d2_s3.csv,OK,2,138,0.099951,0,v1,v2,0
manhattan_n50_k5_d2_s4.csv,OK,5,72,0.106933,0,v1,v2,0
manhattan_n50_k5_d2_s5.csv,OK,4,100,0.099464,0,v1,v2,0
manhattan_n50_k5_d2_s6.csv,OK,5,130,0.101855,0,v1,v2,0
manhattan_n50_k5_d2_s7.csv,OK,4,66,0.099607,0,v1,v2,0
manhattan_n50_k5_d2_s8.csv,OK,2,92,0.090905,0,v1,v2,0
manhattan_n50_k5_d2_s9.csv,OK,3,68,0.097653,0,v1,v2,0
manhattan_n50_k5_d2_s10.csv,OK,7,141,0.109897,0,v1,v2,0

manhattan_n50_k10_d2_s1.csv,OK,29,300,0.178274,0,v1,v2,0
manhattan_n50_k10_d2_s2.csv,OK,45,487,0.211383,0,v1,v2,0
manhattan_n50_k10_d2_s3.csv,OK,36,433,0.186336,0,v1,v2,0
manhattan_n50_k10_d2_s4.csv,OK,32,216,0.515679,0,v1,v2,0
manhattan_n50_k10_d2_s5.csv,OK,27,326,0.173903,0,v1,v2,0
manhattan_n50_k10_d2_s6.csv,OK,37,446,0.205197,0,v1,v2,0
manhattan_n50_k10_d2_s7.csv,OK,26,173,0.174736,0,v1,v2,0
manhattan_n50_k10_d2_s8.csv,OK,42,409,0.216520,0,v1,v2,0
manhattan_n50_k10_d2_s9.csv,OK,33,412,0.189298,0,v1,v2,0
manhattan_n50_k10_d2_s10.csv,OK,36,434,0.203183,0,v1,v2,0

manhattan_n50_k20_d2_s1.csv,OK,129,777,0.637337,0,v1,v2,0
manhattan_n50_k20_d2_s2.csv,OK,188,1142,1.083011,0,v1,v2,0
manhattan_n50_k20_d2_s3.csv,OK,150,988,0.783170,0,v1,v2,0
manhattan_n50_k20_d2_s4.csv,OK,126,588,1.087633,0,v1,v2,0
manhattan_n50_k20_d2_s5.csv,OK,170,998,0.893931,0,v1,v2,0
manhattan_n50_k20_d2_s6.csv,OK,169,1033,0.922324,0,v1,v2,0
manhattan_n50_k20_d2_s7.csv,OK,185,902,1.067157,0,v1,v2,0
manhattan_n50_k20_d2_s8.csv,OK,151,952,0.804815,0,v1,v2,0
manhattan_n50_k20_d2_s9.csv,OK,171,1053,0.951968,0,v1,v2,0
manhattan_n50_k20_d2_s10.csv,OK,127,848,0.622072,0,v1,v2,0

manhattan_n50_k40_d2_s1.csv,OK,532,1946,10.898950,0,v1,v2,0
manhattan_n50_k40_d2_s2.csv,OK,580,2188,12.978093,0,v1,v2,0
manhattan_n50_k40_d2_s3.csv,OK,605,2233,14.554767,0,v1,v2,0
manhattan_n50_k40_d2_s4.csv,OK,566,1855,12.583939,0,v1,v2,0
manhattan_n50_k40_d2_s5.csv,OK,651,2011,17.701445,0,v1,v2,0
manhattan_n50_k40_d2_s6.csv,OK,491,1873,8.804113,0,v1,v2,0
manhattan_n50_k40_d2_s7.csv,OK,446,1740,7.108462,0,v1,v2,0
manhattan_n50_k40_d2_s8.csv,OK,661,2155,18.153964,0,v1,v2,0
manhattan_n50_k40_d2_s9.csv,OK,592,2204,13.739548,0,v1,v2,0
manhattan_n50_k40_d2_s10.csv,OK,419,1688,6.364794,0,v1,v2,0

manhattan_n50_k80_d2_s1.csv,OK,1320,3277,131.468832,0,v1,v2,0
manhattan_n50_k80_d2_s2.csv,OK,1391,3569,152.884309,0,v1,v2,0
manhattan_n50_k80_d2_s3.csv,OK,1288,3254,125.019098,0,v1,v2,0
manhattan_n50_k80_d2_s4.csv,OK,1292,3230,127.252912,0,v1,v2,0
manhattan_n50_k80_d2_s5.csv,OK,1117,3004,87.297000,0,v1,v2,0
manhattan_n50_k80_d2_s6.csv,OK,1459,3451,171.226741,0,v1,v2,0
manhattan_n50_k80_d2_s7.csv,OK,1534,3514,194.079899,0,v1,v2,0
manhattan_n50_k80_d2_s8.csv,OK,1332,3426,135.113997,0,v1,v2,0
